Roaster,Name,Review,Roaster_link,Origin,Roast,dollars_per_ounce,Review_date
Mostra Coffee,Kenya Ngaita Peaberry,"Bright, richly sweet, complex. Red currant, jasmine, dark chocolate, tangerine zest, maple syrup in aroma and cup. Sweetly savory structure, with juicy-bright acidity. Crisply silky mouthfeel. The balanced, integrated finish is centered around notes of red currant and dark chocolate, with hints of tangerine zest into the long.",https://mostracoffee.com/collections/coffee,"Kiambu County, Kenya",Medium-Light,1.93,September 2022
Paradise Roasters,Ka‘ū Champagne Natural Half-Caf,"Delicately sweet-tarty, fruity and lively. Baking chocolate, pomegranate, lime zest, cashew butter, oak in aroma and cup. Sweet-tart structure with gently bright, winey acidity; crisp, silky mouthfeel. Baking chocolate and lime zest are central in the finish.",https://paradiseroasters.com/,"Ka‘ū growing region, Big Island of Hawai’i",Light,7.5,September 2022
Paradise Roasters,Espresso Nuevo,"Evaluated as espresso. Deeply chocolaty, sweetly earthy. Dark chocolate, date, graphite, lemon verbena, candied violet in aroma and small cup. Crisp, satiny mouthfeel; richly chocolaty and gently herbaceous finish. Chocolate takes the stage in cappuccino-scaled milk, with support from notes of date and lemon verbena.",https://paradiseroasters.com/,Thailand; Vietnam; Latin America,Medium-Light,1.58,September 2022
Paradise Roasters,Vietnam Robusta Carbonic Maceration,"Crisply fruit-toned, chocolaty. Cocoa powder, black cherry, almond, cedar, orange zest in aroma and cup. Richly bittersweet structure with brisk acidity; full, velvety mouthfeel. Finish consolidates to notes of cocoa powder, orange zest and cedar.
",https://paradiseroasters.com/,"Lam Dong Province, Vietnam",Medium-Light,2.08,September 2022
Big Island Coffee Roasters,Kona Noir,"Elegantly fruit-toned, gently spice-driven. Date, clove, blood orange, baking chocolate, cedar in aroma and cup. Complex bittersweet structure with winey acidity; plush, syrupy mouthfeel. The resonant finish is centered around notes of date, blood orange and clove.",https://bit.ly/2Bfk9hI,"Holualoa, Kona, Big Island of Hawai’i",Light,7.25,September 2022
Big Island Coffee Roasters,Kona Red Bourbon,"Richly sweet-tart, deeply chocolaty. Dark chocolate, pomegranate, lemon verbena, agave syrup, pink grapefruit zest in aroma and cup. Sweetly tart structure with apple-like malic acidity; very full, smooth, viscous mouthfeel. The finish consolidates to notes of pomegranate and dark chocolate with undertones of pink grapefruit zest.",https://bit.ly/2Bfk9hI,"Holualoa, Kona, Big Island of Hawai’i",Medium-Light,4.9,September 2022
Temple Coffee,Ethiopia Nano Genji,"Elegantly bright, delicately juicy, richly aromatic. Cocoa nib, ginger flower, apricot, pink grapefruit zest, hint of thyme in aroma and cup. Sweet-tart structure with juicy acidity; plush, syrupy mouthfeel. Resonant, long, flavor-saturated finish.",https://www.templecoffee.com,"Agaro Gera, Jimma Zone, Oromia State, Ethiopia",Light,2.12,September 2022
Temple Coffee,Rwanda Sholi Natural Single-Origin Espresso,"Evaluated as espresso. Richly fruit-toned, chocolaty. Tiramisu, raspberry coulis, almond butter, hop flowers, cedar in aroma and small cup. Viscous, satiny mouthfeel; crisply tart finish with notes of raspberry and cedar. In cappuccino-scaled milk, raspberry and creamy chocolate notes take center stage.",https://www.templecoffee.com,"Muhanga, Rwanda",Medium-Light,1.83,September 2022
Temple Coffee,Guatemala Los Santos,"Crisply sweet-tart, richly nut-toned. Pomegranate, baking chocolate, hazelnut, lime zest, cedar in aroma and cup. Sweet-tart structure with gently bright, balanced acidity; crisp, satiny mouthfeel. Quiet finish centered around sweet nut and chocolate tones.",https://www.templecoffee.com,"Chimaltenango, Guatemala",Medium-Light,1.83,September 2022
Revel Coffee,Finca Cerro Azul Aces Lot,"Fruit-saturated, sweetly fermenty. Concord grape, dark chocolate, vanilla orchid, wine barrel, tangerine zest in aroma and cup. Brightly sweet-tart structure with juicy acidity; very full, satiny mouthfeel. Fruit-toned finish with notes of wine barrel into the long.",https://revelcoffee.com/,"Guerrero State, Mexico",Medium-Light,4.03,September 2022
Amavida Coffee Roasters,Mexico Maya Vinic,"Crisply sweet, balanced, spice-toned. Baking chocolate, almond butter, date, clove, magnolia in aroma and cup. Sweet structure with gentle, round acidity; plush, syrupy mouthfeel. Chocolaty nut tones in the finish supported by magnolia-like flowers.",https://bit.ly/2PGHVY6,"Los Altos, Chiapas State, Mexico",Medium-Light,1.33,September 2022
Badbeard’s Microroastery,Chiapas Chimhucum Semi-Washed,"Delicately sweet, subtly complex. Dried apricot, cocoa nib, freesia-like flowers, cedar, tangerine zest in aroma and cup. Richly bittersweet structure with balanced acidity; full, syrupy-smooth mouthfeel. Cocoa-toned finish with dried apricot and tangerine notes.",,"Los Altos, Chiapas State, Mexico",Medium-Light,1.06,September 2022
Speckled Ax,Capitan Maragogype,"Richly chocolaty, deep-toned. Dark chocolate, hop flowers, black cherry, cinammon, fresh-cut cedar in aroma and cup. Bittersweet structure with gentle, round acidity; plush, creamy mouthfeel. Chocolaty finish with supporting notes of hop flowers and cinnamon.",,"Chiapas, Mexico",Medium-Light,1.83,September 2022
Wonderstate Coffee,Mexico Ozolotepec,"Deeply sweet, crisply chocolaty. Baking chocolate, almond nougat, pear, fresh-cut oak, pink grapefruit zest in aroma and cup. Sweet-toned structure with brisk acidity; full, syrupy-smooth mouthfeel. The finish centers around notes of almond nougat and pink grapefruit zest.",,"Oaxaca, Mexico",Medium-Light,1.58,September 2022
Mostra Coffee,Mexico Nyarita Canela,"Crisply sweet, fruit-toned. Dried plum, hazelnut, cocoa powder, marjoram, fresh-cut fir in aroma and cup. Sweet-toned structure with gently fruity acidity; crisp, silky mouthfeel. The finish consolidates to cocoa-toned marjoram with hints of hazelnut.",https://mostracoffee.com/collections/coffee,"Nyarita, Mexico",Medium-Light,1.79,September 2022
Lone Coffee,Mexico La Cañada Oaxaca Organic,"Deeply sweet, nut-toned. Cashew butter, cocoa nib, date, tiger lily, fresh-cut fir in aroma and cup. Crisply sweet structure with balanced acidity; delicate, silky mouthfeel. Creamy cashew notes lead the short finish with tiger lily and date resurfacing in the long.",,"La Cañada, Oaxaca, Mexico",Medium-Light,2.17,September 2022
Water Street Coffee,Mexico FTO,"Crisply sweet-tart, nut-toned. Red apple, almond brittle, magnolia, lemon zest, cedar in aroma and cup. Sweet-tart structure with brisk acidity; delicate, satiny mouthfeel. Quiet, gently nut-toned finish.",,"Chiapas, Mexico",Medium-Light,1.39,September 2022
JBC Coffee Roasters,Gachatha Kenya,"Richly sweet-savory. Ripe heirloom tomato, pomegranate, cocoa nib, sage, narcissus in aroma and cup. Complex sweet-savory-tart structure with elegantly bright acidity; plush, syrupy-smooth mouthfeel. Long, lingering, flavor-saturated finish that foregrounds tomato, pomegranate and cocoa notes.",https://www.jbccoffeeroasters.com/product-category/coffee/,"Karundu, Nyeri County, Kenya",Medium-Light,2.0,September 2022
Cafe Kreyol,Geisha Spirit,"Delicately fruit- and floral-toned. Magnolia, apricot, amber, cocoa nib, sandalwood in aroma and cup. Sweetly tart with gently bright acidity; vibrantly silky mouthfeel. Resonant finish that leads with notes of magnolia and apricot, rounding to cocoa and amber in the long.",https://cafekreyol.com/,"Tolima Department, Colombia",Medium-Light,3.29,September 2022
Nostalgia Coffee Roasters,Colombia Sudan Rume,"Multi-faceted, enticingly sweet-savory. Lychee, cardamom, cocoa nib, fennel, star jasmine in aroma and cup. Savory-sweet structure with vibrantly juicy acidity; syrupy-smooth mouthfeel. Rich-toned, very long finish with leading notes of lychee and cardamom.",http://bit.ly/2WmKMJ9,"Valle del Cauca Department, Colombia",Light,10.0,September 2022
JBC Coffee Roasters,El Duende Peru,"Balanced, deep, floral-toned. Wisteria, cocoa nib, almond nougat, white peach, cedar in aroma and cup. Sweet structure with gently bright, vibrant acidity; full, buttery mouthfeel. The crisp finish centers around notes of wisteria and cocoa nib.",https://www.jbccoffeeroasters.com/product-category/coffee/,"Huarango, San Ignacio, Cajamarca growing region, Peru",Medium-Light,1.42,September 2022
Cafe Kreyol,Conejo Añejo,"Sweetly fermenty, chocolaty. Milk chocolate, black cherry, wine barrel, cedar, tangerine zest in aroma and cup. Sweet-tart structure with winey acidity; plush, syrupy mouthfeel. Fruity, chocolaty finish with aromatic wood undertones. ",https://cafekreyol.com/,Dominican Republic; Honduras,Medium,1.5,September 2022
Cafe Kreyol,Colombian Anaerobic,"Richly fruit-toned, candy-like. Pineapple saltwater taffy, cotton candy, baking chocolate, orange zest, cedar in aroma and cup. Sweet structure with brisk acidity; satiny-smooth mouthfeel. Crisply sweet finish with notes of cotton candy and orange zest supported by cedar undertones.",https://cafekreyol.com/,Colombia,Light,1.5,September 2022
Cafe Kreyol,Haitian Hound Haitian Blue Dark Roast,"Deeply chocolaty, sweetly earthy. Dark chocolate, pipe tobacco, date, lily, gently scorched oak in aroma and cup. Sweet structure with gentle, round acidity; crisp, velvety mouthfeel. The mildly drying finish consolidates to notes of pipe tobacco and lightly scorched oak with undertones of dark chocolate.",https://cafekreyol.com/,"Cap Haitien, Haiti",Medium,1.42,September 2022
Kona View Coffee,Sweet Waves Espresso,"Evaluated as espresso. Richly sweet, crisply chocolaty. Dark chocolate, hazelnut, candy apple, orange zest, fresh-cut cedar in aroma and cup. Satiny-smooth mouthfeel; resonant, chocolaty finish with hazelnut undertones. In three parts milk, chocolate notes are amplified but remain in balance with hazelnut and cedar suggestions.",,"Holualoa, North Kona growing district, “Big Island” of Hawai’i",Medium,2.88,September 2022
Durango Coffee Company,Rwanda Agasaro,"Richly bittersweet, harmoniously fruit-forward. Dark chocolate, dried black cherry, lavender, fresh-cut oak, tangerine zest in aroma and cup. Integrated, pleasingly bittersweet structure with gentle acidity; full, syrupy mouthfeel. The finish consolidates to notes of dark chocolate, dried black cherry and cedar.",https://www.durangocoffee.com/,"Western Province, Rwanda",Medium-Light,1.58,September 2022
Bird Rock Coffee Roasters,Colombia Pink Bourbon Filadelfia,"Intricate, vibrantly floral, citrusy. Lilac, tangerine, almond brittle, sage, wild honey in aroma and cup. High-toned, harmonious structure with elegantly juicy acidity; full, creamy mouthfeel. Flavor-saturated, very long finish. ",http://bit.ly/2CcjgEd,"Huila Department, Colombia",Light,2.6,September 2022
Yellow Brick Coffee,Ethiopia Kayon Mountain,"Richly sweet-tart, high-toned. Apricot nectar, almond nougat, jasmine, cedar, cocoa nib in aroma and cup. Richly sweet-tart structure with juicy-bright acidity; very syrupy, vibrant mouthfeel. Cocoa-toned finish with undertones of apricot and cedar.",,"Odo Shakiso District, Guji Zone, southern Ethiopia",Medium-Light,1.67,September 2022
JBC Coffee Roasters,San Jose Mexico,"Evaluated as espresso. Richly chocolaty, deeply sweet. Crisp apple, dark chocolate, hazelnut, fresh-cut oak, agave syrup in aroma and small cup. Velvety-smooth mouthfeel; chocolaty, nutty finish. In three parts milk, both chocolate and nut tones are amplified, while fruit falls back to a supporting role. ",https://www.jbccoffeeroasters.com/product-category/coffee/,"Coatepec, Veracruz State, Mexico",Medium-Light,1.42,August 2022
JBC Coffee Roasters,Bella Carmona Guatemala,"Evaluated as espresso. Caramel, almond butter, yellow plum, orange zest, cedar in aroma and small cup. Crisp, satiny mouthfeel; richly nut-driven finish. In three parts milk, almond and caramel tones commingle, supported by plum and cedar.",https://www.jbccoffeeroasters.com/product-category/coffee/,"Antigua growing region, Guatemala",Medium-Light,1.42,August 2022
Hula Daddy Kona Coffee,Karen J Kona Red Bourbon,"Deep-toned, complexly layered, vibrantly aromatic. Black cherry, honeysuckle, cocoa nib, sugar cane, lemon balm in aroma and cup. Richly bittersweet structure with tart, juicy acidity; crisp, satiny mouthfeel. Very long, nuanced, resonant finish.",http://bit.ly/2oBDGmP,"Holualoa, North Kona growing district, “Big Island” of Hawai’i",Medium-Light,6.87,August 2022
RamsHead Coffee Roasters,Nicaragua La Bastilla Estate Anaerobic,"Deeply lactic-sweet, rich-toned. Bubblegum, rhododendron, cocoa nib, fresh leather, grape candy in aroma and cup. Richly bittersweet structure with tangy, lactic acidity; delicate, lightly syrupy mouthfeel. The sweet, long finish consolidates to notes of bubblegum and cocoa nib with undertones of rhododendron.",https://bit.ly/2P8dTQf,"Jinotega, Nicaragua",Medium-Light,1.46,August 2022
Red Rooster Coffee Roaster,Ethiopia Worka Sakaro,"Sweetly tart, fruit-driven, chocolaty. Berry melange, dark chocolate, freesia-like flowers, cedar, pink peppercorn in aroma and cup. Brightly sweet with vibrant, high-toned acidity; lively, syrupy mouthfeel. Long, lingering, flavor-saturated finish, juicy and bright.
",https://bit.ly/2XuD3GS,"Gedeb District, Gedeo Zone, southern Ethiopia",Medium-Light,1.83,August 2022
Jaunt Coffee Roasters,Colombia Geisha,"Richly fruit- and floral-toned. Dried plum, plumeria, dark chocolate, amber, lemon-thyme in aroma and cup. Sweet-tart with balanced, fruity acidity; very full, syrupy mouthfeel. The resonant finish centers around notes of plum, plumeria and dark chocolate.",https://jauntcoffee.com/,"Planadas, Tolima, Colombia",Medium-Light,3.0,August 2022
Jaunt Coffee Roasters,Ethiopia Guji Hambela Dabaye,"Delicately aromatic, richly sweet. Narcissus, honey, apricot, almond, Meyer lemon zest in aroma and cup. Sweetly tart structure with gently bright, floral acidity; smooth, silky mouthfeel. The finish consolidates to notes of honey and almond with undertones of narcissus.",https://jauntcoffee.com/,"Guji Zone, Oromia Region, Ethiopia",Medium-Light,1.83,August 2022
Roadmap CoffeeWorks,Colombia Don Ruiz Anaerobic,"Elegantly fruit-toned, very juicy. Ripe peach, dark chocolate, blueberry jam, almond butter, a hint of wine barrel in aroma and cup. Sweetly tart structure with bright, malic acidity; very smooth, syrupy mouthfeel. Integrated, harmonious, long finish.",https://roadmapcoffeeworks.com/,"Caldas, Colombia",Medium-Light,2.38,August 2022
Roadmap CoffeeWorks,Colombia FUDAM Nariño,"High-toned, richly sweet-tart. Red plum, almond nougat, marjoram, cedar, star jasmine in aroma and cup. Brightly sweet with high-toned acidity; syrupy-smooth mouthfeel. The finish leads with notes of star jasmine, rounding to almond nougat in the long.",https://roadmapcoffeeworks.com/,"La Union, Nariño, Colombia",Light,1.54,August 2022
Roadmap CoffeeWorks,Peru Walther Acuna,"Crisply sweet, delicately aromatic. Fig Newton, magnolia, hazelnut, fresh-cut fir, agave syrup in aroma and cup. Sweet structure with brisk acidity; very full, satiny mouthfeel. The gently drying finish consolidates to notes of hazelnut and fir.",https://roadmapcoffeeworks.com/,"La Coipa, Cajamarca, Peru",Medium-Light,1.66,August 2022
Per’la Specialty Roasters,Ethiopia Durato Bombe,"Massively floral, juicy, cocoa-toned. Distinct cocoa, honeysuckle, tangerine, caramel, cashew in aroma and cup. Deeply sweet, savory-edged in structure, with deep, vibrant acidity. Full, syrupy mouthfeel. The finish is sweet and rich, carrying most notes from the cup far into the long. ",,"Sidamo growing region, southern Ethiopia",Light,2.0,August 2022
Magnolia Coffee,Papua New Guinea Timuza Organic,"Balanced, classic, sweetly bright. Blood orange, fresh-cut cedar, almond brittle, quietly complex flowers — freesia, lavender — in aroma and cup. Crisp, sweet-tart structure with smoothly bright acidity. Plush, lightly viscous mouthfeel. Sweet almond and fresh cedar carry the rich, gently drying finish.",https://magnoliacoffeeco.com/,"Eastern Highlands, Papua New Guinea",Light,1.42,August 2022
Cup to Cup Coffee Roasters,Ethiopia Yirgacheffe Kochere,"Crisp, spicy, orange-toned. Spice box, black currant, orange, cocoa, a hint of sweet flowers in aroma and cup. Sweet-tart structure with a briskly savory edge; full, plump mouthfeel. Rich and round in the finish: orange, blackberry, a continued hint of flowers.  ",,"Kochere District, Gedeo Zone, Ethiopia",Medium-Light,1.0,August 2022
Fieldheads Coffee Roasting,Ethiopia Sidama,"Sweet, crisply brisk, orangy, balanced. Orange, freesia, fresh-cut fir, hints of cocoa nib and molasses. Bittersweet in structure with a sweet but brisk acidity. Lightly syrupy, lifty and lively mouthfeel. Gently but richly drying finish: orange, fir, a hint of cocoa nib.",,"Mirado Village, Bensa District, Sidama Zone, Ethiopia",Medium-Light,1.08,August 2022
Red Rooster Coffee Roaster,Papua New Guinea Baroida Estate Natural,"Buoyant, delicate, vivacious. A bouquet of flowers — rose, magnolia, more — plus lemon, sandalwood, fresh tobacco in aroma and cup. Sweet-tart in structure with a big, savory bottom. Syrupy but lively mouthfeel. Rich, sweet, balanced finish: tobacco, lemon. ",https://bit.ly/2XuD3GS,"Eastern Highlands, Papua New Guinea",Medium-Light,1.83,August 2022
Speedwell Coffee,El Salvador Monte Verde,"Sweet-toned, straightforward, comfortable. Brown sugar, cocoa, gardenia, hazelnut, a hint of orange marmalade in aroma and cup. Balanced in structure, with gentle, round acidity; delicately plush mouthfeel. The exceptionally sweet finish consolidates around flowers, cocoa, hazelnut. 
",https://speedwellcoffee.com/,"Monte Verde, Santa Ana Department, central El Salvador",Medium-Light,1.25,August 2022
Topeca Coffee Roasters,Colombia Laboyano,"Bright but balanced; cleanly classic washed profile. Distinct apricot,
tangerine, cedar, caramel, almond in aroma and cup. Sweetly bright in structure with
smooth but decisive acidity; lightly syrupy, lively mouthfeel. Apricot dominates in a sweetly
rich, very long finish.",,"Pitalito growing region, Huila Department, Colombia",Medium-Light,1.42,August 2022
JBC Coffee Roasters,Pantan Musara Sumatra,"Richly spice- and fruit-toned. Nectarine, clove, narcissus, cocoa nib, cedar in aroma and cup. Brightly sweet structure with vibrant, juicy acidity; full, syrupy-smooth mouthfeel. The balanced finish leads with notes of cocoa nib and nectarine, supported by clove, cedar and a hint of narcissus.",https://www.jbccoffeeroasters.com/product-category/coffee/,"Aceh Province, Sumatra, Indonesia",Medium-Light,1.75,August 2022
Coffee By Design,Sumatra Takengon Gayo Natural,"Gently fruit-toned, complex, multi-layered. Wild strawberry, honey, sandalwood, jasmine, fresh leather in aroma and cup. Sweetly tart structure with balanced, juicy acidity; very full, syrupy mouthfeel. The crisp finish centers on notes of strawberry and sandalwood with honey undertones.
",,"Aceh Province, Sumatra, Indonesia",Light,1.34,August 2022
Coffee By Design,Ethiopia Djimma Gera Anaerobic,"High-toned, sweetly tart. Lychee, tamarind, dark chocolate, marjoram, fresh-cut oak in aroma and cup. Sweet-toned structure with gentle, round acidity; plush, creamy mouthfeel. Long, lingering finish with notes of dark chocolate and tamarind.",,"Djimmah, Oromia Region, Ethiopia",Medium-Light,2.0,August 2022
Coffee By Design,Colombia Los Pinos Robeiro Sarmiento,"Chocolaty, deep-toned. Baking chocolate, date, cedar, narcissus, almond in aroma and cup. Sweet structure with brisk acidity; velvety mouthfeel. The finish consolidates to notes of baking chocolate and cedar.",,"Antioquia Department, Colombia",Medium-Light,1.16,August 2022
Peach Coffee Roasters,Vietnam Cau Dat Mercafe Lotus,"Richly sweet, chocolaty. Dark chocolate, hazelnut, date, gardenia, cedar in aroma and cup. Sweet-toned structure with gentle acidity; crisp, satiny mouthfeel. Chocolaty finish with undertones of hazelnut and cedar.",,"Cau Dat, southwest Vietnam",Medium-Light,2.0,August 2022
JBC Coffee Roasters,Nano Genji #7,"Richly sweet, floral- and fruit-toned. Apricot, star jasmine, almond nougat, lemon balm, sandalwood in aroma and cup. Sweetly tart structure with delicately bright acidity; plush, syrupy mouthfeel. Long, lingering, flavor-laden finish.",https://www.jbccoffeeroasters.com/product-category/coffee/,"Agaro Gera, Jimma Zone, Oromia State, Ethiopia",Medium-Light,1.58,July 2022
Dragonfly Coffee Roasters,Panama Auromar Camilina Geisha Natural,"Delicately bright, resonantly floral. Narcissus, cardamom, honey, bergamot, marjoram in aroma and cup. Balanced, sweetly tart structure with vibrant acidity; lively, silky mouthfeel. The long, flavor-laden finish leads with notes of bittersweet citrus and narcissus in the short; cardamom and honey resurface in the long.",https://dragonflycoffeeroasters.com/,"Piedra Candela, Chiriqui Province, far western Panama",Medium-Light,12.5,July 2022
JBC Coffee Roasters,Tio Conejo Colombia,"Nuanced, bright, multi-layered, richly aromatic. Tangerine, lilac, sage, Bing cherry, caramelized walnut in aroma and cup. Sweetly bright structure with vibrant, balanced acidity; lively, satiny-smooth mouthfeel. The resonant finish centers around notes of tangerine and sage.",https://www.jbccoffeeroasters.com/product-category/coffee/,"Vereda Santa Rita, Manizales, Caldas, Colombia",Medium-Light,2.25,July 2022
Dragonfly Coffee Roasters,Panama Auromar Ironman Geisha Washed Process,"High-toned, balanced, deeply sweet. Pomelo, jasmine, cocoa nib, amber, agave syrup in aroma and cup. Brightly sweet structure with juicy acidity; syrupy-smooth mouthfeel. The crisply cocoa-toned finish is supported by pomelo and jasmine.",https://dragonflycoffeeroasters.com/,"Piedra Candela, Chiriqui Province, far western Panama",Medium-Light,12.5,July 2022
JBC Coffee Roasters,Cruz Loma,"Deeply sweet, richly fruit-toned. Passion fruit, ginger flower, cocoa nib, Meyer lemon zest, hazelnut in aroma and cup. Brightly sweet with vibrant, juicy acidity; very full, syrupy mouthfeel. The resonant finish centers around notes of cocoa-toned ginger flower.",https://www.jbccoffeeroasters.com/product-category/coffee/,"San José de Minas, Pichincha Province, Ecuador",Medium-Light,3.12,July 2022
modcup coffee,Panama Elida Washed Gesha,"Richly fruit- and floral-toned. Lychee, strawberry guava, white ginger, cocoa nib, pink grapefruit zest in aroma and cup. Brightly sweet structure with juicy acidity; viscous, satiny-smooth mouthfeel. The long, resonant, flavor-laden finish carries over all the notes from the cup.",https://www.modcup.com/,"Boquete growing region, western Panama",Light,11.34,July 2022
Brand 425,Dark Texas Twist,"Sweetly roast-toned, richly chocolaty. Baking chocolate, scorched mesquite, lily, almond brittle, date in aroma and cup. Bittersweet structure with creamy mouthfeel; the crisp, gently drying finish centers on notes of baking chocolate, lily and mesquite.",,Ethiopia; Sumatra,Medium,1.19,July 2022
Trident Coffee,Dreadnaught Espresso,"Evaluated as espresso. Chocolaty, roast-rounded. Cocoa powder, date, salted caramel, gardenia, fresh-cut fir in aroma and small cup. Crisp, velvety mouthfeel; sweet, chocolaty and wood-framed finish. In three parts milk, both chocolate and floral notes bloom, with undertones of date and gardenia.",,"Cajamarca region, Peru",Medium,1.5,July 2022
Trident Coffee,Trident Carmo de Minas,"Sweetly nut-toned. Cashew, caramel, cedar, orange zest, lily in aroma and cup. Sweet structure with brisk acidity; lightly satiny mouthfeel. The finish centers around notes of cashew and cedar with caramel undertones.",,"Carmo de Minas growing region, northeastern Minas Gerais State, Brazil",Medium-Light,1.5,July 2022
Paradise Roasters,Hawaii Ka‘ū Bourbon Anaerobic Natural,"Richly sweet-tart, floral and fruit-driven. Mango, cocoa nib, ginger blossom, lime zest, cedar in aroma and cup. Balanced, tart-leaning structure with vibrant, juicy acidity; lightly viscous, silky mouthfeel. Long, flavor-saturated finish centered around fruit and florals.",https://paradiseroasters.com/,"Ka‘ū growing region, Big Island of Hawai’i",Medium-Light,7.5,July 2022
JBC Coffee Roasters,Chelchele Ethiopia,"Elegant, delicately aromatic, floral. Honeysuckle, cocoa nib, pink peppercorn, red plum, pomelo in aroma and cup. Sweetly tart with juicy, balanced acidity; plush, syrupy-smooth mouthfeel. Floral- and cocoa-toned finish.",https://www.jbccoffeeroasters.com/product-category/coffee/,"Gedeb District, Gedeo Zone, southern Ethiopia",Medium-Light,1.58,July 2022
Paradise Roasters,Colombia Antioquia Magico,"Richly chocolaty, sweetly tart. Nectarine, dark chocolate, lemon verbena, lavender, fresh-cut oak in aroma and cup. Sweet structure with high-toned acidity; very full, satiny-smooth mouthfeel. Crisply sweet, chocolaty finish with undertones of lemon verbena and a hint of lavender.",https://paradiseroasters.com/,"Urrao, Antioquia Department, Colombia",Light,3.17,July 2022
RamsHead Coffee Roasters,Costa Rica Hacienda La Minita,"Elegantly fruit-toned. Strawberry-guava, pistachio, lime zest, freesia, cedar in aroma and cup. Sweetly tart structure with vibrant, juicy acidity; full, syrupy mouthfeel. The finish centers around notes of strawberry-guava and pistachio with cedar undertones.",https://bit.ly/2P8dTQf,"Los Santos, Tarrazú, Costa Rica",Medium-Light,1.46,July 2022
RamsHead Coffee Roasters,Rwanda Karambi Station Natural,"Crisply tart, sweetly herbaceous. Tangerine, thyme, tea rose, fresh-cut oak, baking chocolate in aroma and cup. Sweet-tart structure with brisk acidity; satiny-smooth mouthfeel. The citrusy finish leads with notes of tangerine and tea rose.",https://bit.ly/2P8dTQf,"Nyamasheke District, Rwanda",Medium-Light,1.46,July 2022
RamsHead Coffee Roasters,Lone Peak Cafe Series Blend,"Deep-toned, richly sweet. Date, dark chocolate, hazelnut, magnolia, cedar in aroma and cup. Sweet structure with gentle, round acidity; plush, creamy mouthfeel. The crisp finish simplifies to notes of dark chocolate and cedar.",https://bit.ly/2P8dTQf,El Salvador; Costa Rica,Medium,1.46,July 2022
Moore Coffee,El Salvador Aida Batlle La Florida Natural,"Richly floral, fruit-toned, balanced. Passion fruit, pink peppercorn, star jasmine, cocoa nib, sandalwood in aroma and cup. Sweetly tart structure with vibrant acidity; syrupy, viscous mouthfeel. The spicy-floral finish leads with notes of star jasmine and cocoa nib.",,"Apaneca-Ilamatepec growing region, El Salvador",Medium-Light,1.55,July 2022
Nostalgia Coffee Roasters,Colombia Geisha Cordillera,"Richly aromatic, chocolaty and fruit-driven. Dark chocolate fudge, dried blueberry, baking spices (clove, nutmeg, cinnamon), magnolia, a hint of wine barrel in aroma and cup. Deeply sweet structure with fruit-toned acidity; creamy, smooth mouthfeel. Long, resonant finish: chocolate, flowers, fruit.",http://bit.ly/2WmKMJ9,"Santa Barbara, Antioquia Department, Colombia",Medium-Light,8.12,July 2022
Bird Rock Coffee Roasters,Ethiopia Raro Boda,"Citrusy-sweet, richly cocoa-toned. Tangerine, cocoa nib, marjoram, narcissus, fresh-cut cedar in aroma and cup. Sweetly tart structure with bright, balanced acidity; silky-smooth mouthfeel. Finish consolidates to pretty notes of cocoa nib and tangerine.",http://bit.ly/2CcjgEd,"Guji Zone, Oromia Region, Southern Ethiopia",Medium-Light,1.83,July 2022
Jaunt Coffee Roasters,Kenya Nyeri Gathaithi,"Balanced, sweetly savory. Wisteria, black currant, lime zest, tamarind, cedar in aroma and cup. Sweet-savory structure with bight, juicy acidity; full, syrupy-smooth mouthfeel. The finish leads with notes of tamarind, supported by lime zest and cedar.",https://jauntcoffee.com/,"Nyeri growing region, south-central Kenya",Medium-Light,1.92,July 2022
Handlebar Coffee,Honduras Marcala,"Balanced, deeply sweet, rich-toned. Butterscotch, hazelnut, dark chocolate, apricot, freesia-like flowers in aroma and cup. Invitingly bittersweet structure with brisk acidity; very satiny mouthfeel. The finish centers around notes of butterscotch and hazelnut.",,"Marcala growing region, La Paz Department, Honduras",Medium-Light,1.67,July 2022
Regent Coffee,Costa Rica Hacienda Sonora Honey,"Bright, vibrantly sweet. Wild honey, dried plum, cocoa nib, pink grapefruit zest, lilac in aroma and cup. Sweet structure with crisply bright acidity; velvety-smooth mouthfeel. Cocoa-toned finish with undertones of wild honey and pink grapefruit zest.",https://bit.ly/3vqsQg7,"Carrillos Alto de Poás, Alajuela Province, Costa Rica",Medium-Light,1.75,July 2022
The Reverse Orangutan,Ethiopia Shantawane Buncho Honey,"Vibrantly fruit-toned, intensely sweet-tart. Mango, cocoa nib, agave syrup, lemon thyme, magnolia in aroma and cup. Sweet-tart structure with perky acidity; plush, syrupy mouthfeel. Crisp fruit-forward finish with undertones of agave syrup and lemon thyme.",,"Sidama Region, south-central Ethiopia",Light,1.83,July 2022
Espresso Republic,Ethiopia Gigesa Natural,"Fruit-centered, sweetly herbaceous. Bing cherry, marjoram, honeysuckle, salted caramel, fresh-cut oak in aroma and cup. Sweetly tart with brisk acidity; full, syrupy-smooth mouthfeel. The crisply sweet finish consolidates around notes of honeysuckle and oak.",,"Guji Zone, Oromia Region, Ethiopia",Medium-Light,1.33,July 2022
